,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
20267,wealthier,10003,Mediterranean,10/9/2019,06A,Y,1,10/9/2019,40.7334727,-73.99315871,102,2,6100,1009127,1005630001,MN23
20268,wealthier,10029,Chicken,11/13/2019,02B,Y,0,11/13/2019,40.79843201,-73.94174146,111,8,18200,1052262,1016430052,MN34
20269,less wealthy,11201,Other,7/17/2019,04H,Y,1,7/17/2019,40.69082623,-73.98345225,302,33,1500,3397861,3001497501,BK38
20270,less wealthy,11377,American,9/5/2019,06D,Y,1,9/5/2019,40.74737836,-73.90337893,402,26,25900,4027773,4012150005,QN63
20271,wealthier,10012,Australian,1/7/2020,10F,N,1,1/7/2020,40.72053395,-73.99468244,102,1,4100,1007131,1004780012,MN24
20272,wealthier,10010,Café/Coffee/Tea,4/12/2019,10F,N,1,4/12/2019,40.73927213,-73.98972634,105,2,5200,1016201,1008490016,MN13
20273,wealthier,10025,Italian,3/28/2019,06C,Y,1,3/28/2019,40.80258689,-73.96794677,107,6,19500,1057285,1018920049,MN09
20274,less wealthy,11219,Chinese,1/15/2020,04L,Y,1,1/15/2020,40.63393358,-74.00430183,312,38,11600,3140591,3057017501,BK88
20275,less wealthy,11368,Indian,8/22/2019,04N,Y,1,8/22/2019,40.76096673,-73.85764855,403,21,38302,4541458,4020180001,QN99
20276,less wealthy,11226,Caribbean,3/15/2019,02B,Y,1,3/15/2019,40.65086559,-73.94842612,317,40,81800,3108559,3048690027,BK95
20277,less wealthy,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/22/2019,06C,Y,1,10/22/2019,40.7473684,-73.86850483,404,21,46500,4039895,4015980008,QN29
20278,wealthier,10310,Barbecue,11/18/2019,04M,Y,0,11/18/2019,40.6269418,-74.12619548,501,49,15100,5089759,5003510025,SI07
20279,wealthier,10023,"Juice, Smoothies, Fruit Salads",3/28/2019,05D,Y,1,3/28/2019,40.77788411,-73.97995343,107,6,15700,1079313,1011430042,MN14
20280,less wealthy,11230,Chicken,4/17/2019,10F,N,1,4/17/2019,40.63250433,-73.96685066,314,40,48200,3128208,3054290029,BK42
