DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
SWEETGREEN,less wealthy,11211,Sandwiches/Salads/Mixed Buffet,8/1/19,06E,Y,1,8/1/19,40.7158634,-73.95904248,301,34,55300,3062371,3023520009,BK73
MR. POLLO #1,less wealthy,11361,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/9/19,10F,N,1,9/9/19,40.76230743,-73.7703594,411,19,146700,4138220,4062840034,QN46
BAY RIDGE CAFE,less wealthy,11220,Café/Coffee/Tea,4/27/19,06D,Y,1,4/27/19,40.63519939,-74.02329303,310,43,6800,3145217,3058630038,BK31
PANDA HOUSE,less wealthy,11428,Chinese,11/7/19,04L,Y,1,11/7/19,40.72761893,-73.7323395,413,23,56000,4230623,4107580011,QN34
MANOUSHEH,wealthier,10012,Middle Eastern,11/6/19,04N,Y,1,11/6/19,40.72927341,-74.00140353,102,1,6500,1084931,1005427502,MN23
BATATA,less wealthy,11218,Middle Eastern,11/7/19,10B,N,1,11/7/19,40.64836648,-73.97863031,307,39,50000,3343233,3052810066,BK40
COFFEED,wealthier,10011,Café/Coffee/Tea,2/4/19,06F,Y,1,2/4/19,40.73917095,-73.99550009,105,3,5400,1068261,1008187501,MN13
BREAD & BUTTER,wealthier,10016,Delicatessen,11/19/19,04H,Y,0,11/19/19,40.74379206,-73.98372053,105,2,7200,1018236,1008840084,MN20
OFF TO START CAFE,less wealthy,11215,Café/Coffee/Tea,4/4/19,06F,Y,1,4/4/19,40.66492419,-73.98651536,306,39,14900,3023746,3010430009,BK37
JUS CHILL BAR & GRILL,less wealthy,11207,Caribbean,12/10/19,02B,Y,0,12/10/19,40.66445771,-73.88716376,305,42,112400,3090722,3040890034,BK82
TEXAS CHICKEN & BURGERS,less wealthy,11221,Chicken,1/6/20,04L,Y,1,1/6/20,40.69257225,-73.92768776,303,41,38700,3043688,3016130009,BK35
GREGORY'S COFFEE,wealthier,10014,Café/Coffee/Tea,6/6/19,10F,N,1,6/6/19,40.72754124,-74.00727364,102,3,3700,1009750,1005800039,MN24
WHITESTONE DINER,less wealthy,11357,American,9/17/19,04M,Y,1,9/17/19,40.78843658,-73.81544963,407,19,98100,4438034,4045050052,QN49
CONCORD HILL RESTAURANT,less wealthy,11211,American,1/3/20,08A,N,1,1/3/20,40.71557734,-73.94454489,301,34,49700,3068620,3027550005,BK90
MOZZARELLA,less wealthy,11206,Jewish/Kosher,1/16/20,06F,Y,0,1/16/20,40.6998923,-73.95369675,301,33,53100,3387767,3022630048,BK75
SPA CASTLE PREMIER,wealthier,10022,Korean,10/30/19,10F,N,1,10/30/19,40.76129263,-73.96999542,105,4,11203,1036926,1013127501,MN19
